Order Num,Pick_node,completed_time_mode_1,completed_time_mode_2
1,4,Day: 01   02:30:25,Day: 01   00:06:25
1,6,Day: 01   02:30:25,Day: 01   00:14:20
1,8,Day: 01   02:30:25,Day: 01   00:22:15
1,10,Day: 01   02:30:25,Day: 01   00:30:10
1,12,Day: 01   02:30:25,Day: 01   00:38:05
1,13,Day: 01   02:30:25,Day: 01   00:46:00
1,19,Day: 01   02:30:25,Day: 01   00:53:55
1,20,Day: 01   02:30:25,Day: 01   01:01:50
1,21,Day: 01   02:30:25,Day: 01   01:09:45
1,32,Day: 01   02:30:25,Day: 01   01:17:40
1,36,Day: 01   02:30:25,Day: 01   01:25:35
1,37,Day: 01   02:30:25,Day: 01   01:33:30
1,38,Day: 01   02:30:25,Day: 01   01:41:25
1,39,Day: 01   02:30:25,Day: 01   01:49:20
1,41,Day: 01   02:30:25,Day: 01   01:57:15
1,43,Day: 01   02:30:25,Day: 01   02:05:10
1,49,Day: 01   02:30:25,Day: 01   02:13:05
1,50,Day: 01   02:30:25,Day: 01   02:21:00
1,52,Day: 01   02:30:25,Day: 01   02:28:55
2,1,Day: 01   05:34:11,Day: 01   02:37:31
2,5,Day: 01   05:34:11,Day: 01   02:46:16
2,8,Day: 01   05:34:11,Day: 01   02:55:01
2,9,Day: 01   05:34:11,Day: 01   03:03:46
2,11,Day: 01   05:34:11,Day: 01   03:12:31
2,13,Day: 01   05:34:11,Day: 01   03:21:16
2,18,Day: 01   05:34:11,Day: 01   03:30:01
2,21,Day: 01   05:34:11,Day: 01   03:38:46
2,24,Day: 01   05:34:11,Day: 01   03:47:31
2,29,Day: 01   05:34:11,Day: 01   03:56:16
2,31,Day: 01   05:34:11,Day: 01   04:05:01
2,32,Day: 01   05:34:11,Day: 01   04:13:46
2,33,Day: 01   05:34:11,Day: 01   04:22:31
2,35,Day: 01   05:34:11,Day: 01   04:31:16
2,37,Day: 01   05:34:11,Day: 01   04:40:01
2,40,Day: 01   05:34:11,Day: 01   04:48:46
2,45,Day: 01   05:34:11,Day: 01   04:57:31
2,48,Day: 01   05:34:11,Day: 01   05:06:16
2,50,Day: 01   05:34:11,Day: 01   05:15:01
2,51,Day: 01   05:34:11,Day: 01   05:23:46
2,54,Day: 01   05:34:11,Day: 01   05:32:31
3,36,Day: 01   05:34:37,Day: 01   05:34:37
4,5,Day: 01   07:21:15,Day: 01   05:40:00
4,7,Day: 01   07:21:15,Day: 01   05:46:40
4,22,Day: 01   07:21:15,Day: 01   05:53:20
4,23,Day: 01   07:21:15,Day: 01   06:00:00
4,26,Day: 01   07:21:15,Day: 01   06:06:40
4,29,Day: 01   07:21:15,Day: 01   06:13:20
4,30,Day: 01   07:21:15,Day: 01   06:20:00
4,31,Day: 01   07:21:15,Day: 01   06:26:40
4,33,Day: 01   07:21:15,Day: 01   06:33:20
4,34,Day: 01   07:21:15,Day: 01   06:40:00
4,36,Day: 01   07:21:15,Day: 01   06:46:40
4,37,Day: 01   07:21:15,Day: 01   06:53:20
4,41,Day: 01   07:21:15,Day: 01   07:00:00
4,44,Day: 01   07:21:15,Day: 01   07:06:40
4,50,Day: 01   07:21:15,Day: 01   07:13:20
4,52,Day: 01   07:21:15,Day: 01   07:20:00
5,4,Day: 01   07:55:01,Day: 01   07:24:21
5,7,Day: 01   07:55:01,Day: 01   07:28:06
5,12,Day: 01   07:55:01,Day: 01   07:31:51
5,19,Day: 01   07:55:01,Day: 01   07:35:36
5,21,Day: 01   07:55:01,Day: 01   07:39:21
5,23,Day: 01   07:55:01,Day: 01   07:43:06
5,26,Day: 01   07:55:01,Day: 01   07:46:51
5,38,Day: 01   07:55:01,Day: 01   07:50:36
5,42,Day: 01   07:55:01,Day: 01   07:54:21
6,3,Day: 01   07:58:47,Day: 01   07:56:07
6,15,Day: 01   07:58:47,Day: 01   07:57:22
6,17,Day: 01   07:58:47,Day: 01   07:58:37
7,52,Day: 01   07:59:10,Day: 01   07:59:10
8,7,Day: 01   09:32:56,Day: 01   08:04:16
8,10,Day: 01   09:32:56,Day: 01   08:10:31
8,14,Day: 01   09:32:56,Day: 01   08:16:46
8,17,Day: 01   09:32:56,Day: 01   08:23:01
8,19,Day: 01   09:32:56,Day: 01   08:29:16
8,20,Day: 01   09:32:56,Day: 01   08:35:31
8,21,Day: 01   09:32:56,Day: 01   08:41:46
8,23,Day: 01   09:32:56,Day: 01   08:48:01
8,28,Day: 01   09:32:56,Day: 01   08:54:16
8,32,Day: 01   09:32:56,Day: 01   09:00:31
8,33,Day: 01   09:32:56,Day: 01   09:06:46
8,34,Day: 01   09:32:56,Day: 01   09:13:01
8,41,Day: 01   09:32:56,Day: 01   09:19:16
8,45,Day: 01   09:32:56,Day: 01   09:25:31
8,48,Day: 01   09:32:56,Day: 01   09:31:46
9,1,Day: 01   10:23:22,Day: 01   09:36:42
9,7,Day: 01   10:23:22,Day: 01   09:41:17
9,8,Day: 01   10:23:22,Day: 01   09:45:52
9,21,Day: 01   10:23:22,Day: 01   09:50:27
9,34,Day: 01   10:23:22,Day: 01   09:55:02
9,39,Day: 01   10:23:22,Day: 01   09:59:37
9,40,Day: 01   10:23:22,Day: 01   10:04:12
9,41,Day: 01   10:23:22,Day: 01   10:08:47
9,44,Day: 01   10:23:22,Day: 01   10:13:22
9,49,Day: 01   10:23:22,Day: 01   10:17:57
9,52,Day: 01   10:23:22,Day: 01   10:22:32
10,8,Day: 01   10:27:05,Day: 01   10:24:25
10,26,Day: 01   10:27:05,Day: 01   10:25:40
10,31,Day: 01   10:27:05,Day: 01   10:26:55
11,41,Day: 01   10:27:31,Day: 01   10:27:31
12,1,Day: 01   10:37:57,Day: 01   10:29:17
12,9,Day: 01   10:37:57,Day: 01   10:31:22
12,41,Day: 01   10:37:57,Day: 01   10:33:27
12,44,Day: 01   10:37:57,Day: 01   10:35:32
12,45,Day: 01   10:37:57,Day: 01   10:37:37
13,37,Day: 01   10:38:20,Day: 01   10:38:20
14,2,Day: 01   11:05:01,Day: 01   10:41:06
14,15,Day: 01   11:05:01,Day: 01   10:44:26
14,18,Day: 01   11:05:01,Day: 01   10:47:46
14,21,Day: 01   11:05:01,Day: 01   10:51:06
14,29,Day: 01   11:05:01,Day: 01   10:54:26
14,50,Day: 01   11:05:01,Day: 01   10:57:46
14,51,Day: 01   11:05:01,Day: 01   11:01:06
14,53,Day: 01   11:05:01,Day: 01   11:04:26
15,49,Day: 01   11:05:27,Day: 01   11:05:27
16,42,Day: 01   11:07:05,Day: 01   11:06:10
16,50,Day: 01   11:07:05,Day: 01   11:07:00
17,6,Day: 01   12:40:51,Day: 01   11:12:11
17,7,Day: 01   12:40:51,Day: 01   11:18:26
17,9,Day: 01   12:40:51,Day: 01   11:24:41
17,10,Day: 01   12:40:51,Day: 01   11:30:56
17,11,Day: 01   12:40:51,Day: 01   11:37:11
17,19,Day: 01   12:40:51,Day: 01   11:43:26
17,21,Day: 01   12:40:51,Day: 01   11:49:41
17,25,Day: 01   12:40:51,Day: 01   11:55:56
17,27,Day: 01   12:40:51,Day: 01   12:02:11
17,35,Day: 01   12:40:51,Day: 01   12:08:26
17,42,Day: 01   12:40:51,Day: 01   12:14:41
17,49,Day: 01   12:40:51,Day: 01   12:20:56
17,52,Day: 01   12:40:51,Day: 01   12:27:11
17,53,Day: 01   12:40:51,Day: 01   12:33:26
17,54,Day: 01   12:40:51,Day: 01   12:39:41
18,13,Day: 01   13:07:32,Day: 01   12:43:37
18,21,Day: 01   13:07:32,Day: 01   12:46:57
18,22,Day: 01   13:07:32,Day: 01   12:50:17
18,37,Day: 01   13:07:32,Day: 01   12:53:37
18,42,Day: 01   13:07:32,Day: 01   12:56:57
18,43,Day: 01   13:07:32,Day: 01   13:00:17
18,47,Day: 01   13:07:32,Day: 01   13:03:37
18,53,Day: 01   13:07:32,Day: 01   13:06:57
19,2,Day: 01   13:07:55,Day: 01   13:07:55
20,16,Day: 01   13:34:36,Day: 01   13:10:41
20,21,Day: 01   13:34:36,Day: 01   13:14:01
20,26,Day: 01   13:34:36,Day: 01   13:17:21
20,29,Day: 01   13:34:36,Day: 01   13:20:41
20,30,Day: 01   13:34:36,Day: 01   13:24:01
20,34,Day: 01   13:34:36,Day: 01   13:27:21
20,46,Day: 01   13:34:36,Day: 01   13:30:41
20,52,Day: 01   13:34:36,Day: 01   13:34:01
21,13,Day: 01   13:38:22,Day: 01   13:35:42
21,42,Day: 01   13:38:22,Day: 01   13:36:57
21,49,Day: 01   13:38:22,Day: 01   13:38:12
22,7,Day: 01   13:38:45,Day: 01   13:38:45
23,29,Day: 01   13:39:11,Day: 01   13:39:11
24,19,Day: 01   13:54:12,Day: 01   13:41:17
24,23,Day: 01   13:54:12,Day: 01   13:43:47
24,29,Day: 01   13:54:12,Day: 01   13:46:17
24,33,Day: 01   13:54:12,Day: 01   13:48:47
24,44,Day: 01   13:54:12,Day: 01   13:51:17
24,51,Day: 01   13:54:12,Day: 01   13:53:47
25,35,Day: 01   13:54:35,Day: 01   13:54:35
26,15,Day: 01   15:05:01,Day: 01   13:59:01
26,19,Day: 01   15:05:01,Day: 01   14:04:26
26,20,Day: 01   15:05:01,Day: 01   14:09:51
26,27,Day: 01   15:05:01,Day: 01   14:15:16
26,33,Day: 01   15:05:01,Day: 01   14:20:41
26,37,Day: 01   15:05:01,Day: 01   14:26:06
26,38,Day: 01   15:05:01,Day: 01   14:31:31
26,46,Day: 01   15:05:01,Day: 01   14:36:56
26,47,Day: 01   15:05:01,Day: 01   14:42:21
